BUSINESS ENTITY PROFILE DATA MASTER SHEET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUSTOMER MASTER DATA SHEET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile ID,Display Name,Business Group,Business Type,Sub-Type,Cuisine / Category,Business Size,Business Structure,Outlet Count,Service Model,Monthly Purchase Band,Procurement Frequency,Primary Contact Name,Designation,Mobile,Email,GSTIN,Area,City,State,Lead Status,Platform Status,Credit Enabled,Credit Type,Credit Limit,Assigned Salesperson,Total Orders,Order Frequency,Last Order Date,Manual Tags,AI Tags,Behaviour Tags,Notes,
,Customer,Bar & Lounge,Lounge Bar,Premium,100-Seater,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Customer,Bar & Lounge,Night Club,Alcohol + Food,200+ Seater,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Customer,Hotel,3-Star,Business Hotel,50 Rooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Customer,Hotel,5-Star,Luxury Hotel,200 Rooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Customer,Hotel,Boutique,Boutique Stay,20 Rooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Customer,Cloud Kitchen,Single Brand,Indian Delivery,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Customer,Cloud Kitchen,Multi Brand,Multi Cuisine,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Customer,Kiosk,Beverages,Tea Stall,Standing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Customer,Kiosk,Beverages,Juice Counter,Standing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Customer,Kiosk,South Indian,Idli/Dosa Counter,Standing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Customer,Kiosk,Snacks,Sandwich Stall,Kiosk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Customer,Institutional,Catering,Corporate Catering,Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Customer,Institutional,Canteen,Industrial Canteen,Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Customer,Institutional,Education,College Cafeteria,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Customer,Retail,General Trade,Small Kirana,Standalone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Customer,Retail,General Trade,Large Kirana,Standalone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Customer,Retail,General Trade,Provision Store,Standalone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Customer,Retail,Modern Trade,Supermarket,Chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Customer,Retail,Modern Trade,Hypermarket,Chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Customer,Retail,Modern Trade,Cash & Carry,Enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Customer,Corporate,Office Pantry,IT Company,500 Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Customer,Corporate,Office Pantry,Corporate Office,100 Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vendor,Distributor,HoReCa Distributor,Foodservice Specialist,Mumbai,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vendor,Distributor,Multi-Category Distributor,HoReCa + GT,Maharashtra,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vendor,Distributor,FMCG Distributor,Modern Trade,Gujarat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vendor,Wholesaler,Fruits & Vegetables,Fresh Produce,Local Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vendor,Wholesaler,Dry Fruits & Spices,Bulk Trader,Regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vendor,Wholesaler,Frozen Foods,Cold Chain,Citywide,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vendor,Sub Distributor,FMCG,Last Mile Distributor,Local Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vendor,Importer,Specialty Foods,Japanese Imports,Pan India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vendor,Manufacturer,Sauces & Condiments,Factory Direct,National,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vendor,Manufacturer,Bakery Ingredients,Commercial Supply,Regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vendor,Trader,Commodity Trader,Sugar/Flour,Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vendor,Packaging Supplier,Food Packaging,Disposable Products,Citywide,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brand,D2C,Food Brand,Sauces,Premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brand,D2C,Beverage Brand,Healthy Drinks,Premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brand,FMCG,Snacks,National Brand,Mass Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brand,FMCG,Dairy,Cheese & Butter,HoReCa Focused,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brand,Import Brand,Japanese Ingredients,Sushi Products,Premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brand,Import Brand,Italian Ingredients,Pasta & Olive Oil,Premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brand,HoReCa Specialist,Bakery Solutions,Commercial Kitchens,B2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brand,Retail Brand,Frozen Foods,Modern Trade,Consumer Focused,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brand,Private Label,Cloud Kitchen Supply,Bulk Packs,B2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,
